,Lastmile,Lastmile_hops,Lastmile_max,Lastmile_median,Lastmile_min,Lastmile_ste,Timestamp,TraceRt_rtt,TraceRt_rtt_max,TraceRt_rtt_median,Tracert_hops,Tracert_rtt_min,Tracert_rtt_std,Ping_Average,Ping_Std,Ping_max,Ping_median,Ping_min
0,65.3065,2.0,70.201,65.3065,60.412,4.894499999999997,2020-03-01 00:00:00,69.45133333333334,69.51800000000001,69.45133333333334,10.0,69.38466666666666,0.06666666666667709,79.1997383333,15.036036791767357,101.903865,80.643555,49.85137
1,69.71549999999999,2.0,70.221,69.71549999999999,69.21,0.505500000000005,2020-03-01 01:00:00,69.23083333333334,69.516,69.23083333333334,10.0,68.94566666666667,0.2851666666666688,76.13268,13.29512123039595,107.70831,72.930835,45.537495
2,70.17099999999999,2.0,70.198,70.17099999999999,70.144,0.026999999999993918,2020-03-01 02:00:00,69.85983333333334,69.88166666666666,69.85983333333334,10.0,69.83800000000001,0.021833333333326266,72.9991033333,16.954883649927737,155.193085,72.71691,52.550445
3,69.6995,2.0,70.234,69.6995,69.165,0.5344999999999942,2020-03-01 03:00:00,64.617,69.224,64.617,10.0,60.01,4.607000000000003,83.578705,13.680915280954975,105.64029,68.64255,44.591425
4,63.804,2.0,69.075,63.804,58.533,5.271000000000001,2020-03-01 04:00:00,63.6115,69.504,63.6115,10.0,57.718999999999994,5.892500000000005,75.6985866667,12.591520171598843,93.86607,72.961835,50.202265
5,67.2595,2.0,70.201,67.2595,64.318,2.941499999999998,2020-03-01 05:00:00,56.08983333333333,56.097,56.08983333333333,10.0,56.08266666666666,0.007166666666670096,63.6875516667,19.848783416884956,154.39104,72.70558,46.484885
6,73.305,2.0,77.4,73.305,69.21,4.095000000000006,2020-03-01 06:00:00,69.55933333333334,69.89699999999999,69.55933333333334,10.0,69.22166666666668,0.33766666666665657,82.487115,12.522319221656716,101.939955,70.95832,51.73969
7,56.0925,2.0,59.051,56.0925,53.134,2.958500000000001,2020-03-01 07:00:00,64.66033333333333,69.591,64.66033333333333,10.0,59.72966666666667,4.930666666666664,73.5495016667,11.189316149022472,97.20078,66.061975,50.542455
8,69.681,2.0,70.16,69.681,69.202,0.4789999999999992,2020-03-01 08:00:00,69.85133333333332,69.86566666666666,69.85133333333332,10.0,69.83699999999999,0.014333333333333087,74.99089,17.047192139970274,150.352055,77.393225,49.00055
9,69.68549999999999,2.0,70.234,69.68549999999999,69.137,0.5484999999999971,2020-03-01 09:00:00,60.723166666666664,62.39533333333333,60.723166666666664,10.0,59.050999999999995,1.6721666666666692,61.1196266667,11.028839813217397,90.858955,64.91393,49.408265
10,69.2775,2.0,69.32,69.2775,69.235,0.042499999999996874,2020-03-01 10:00:00,61.846666666666664,69.50266666666667,61.846666666666664,10.0,54.190666666666665,7.656000000000002,57.0625766667,11.312678239734021,94.597825,65.18788,50.640855
11,67.755,2.0,70.183,67.755,65.327,2.4280000000000044,2020-03-01 11:00:00,59.77616666666667,69.849,59.77616666666667,10.0,49.70333333333334,10.072833333333332,87.4270433333,10.942118207827475,99.035175,72.91108,50.349935
12,66.338,2.0,69.251,66.338,63.425,2.913000000000004,2020-03-01 12:00:00,56.28633333333333,56.43166666666667,56.28633333333333,10.0,56.141,0.14533333333333687,101.812625,13.10328749738894,124.66956,69.56261,50.386295
13,70.2815,2.0,70.361,70.2815,70.202,0.07950000000000301,2020-03-01 13:00:00,69.70783333333334,69.87833333333334,69.70783333333334,10.0,69.53733333333334,0.1705000000000041,50.876795,12.378538457810917,92.346965,65.624305,49.850075
14,69.7435,2.0,70.175,69.7435,69.312,0.4314999999999998,2020-03-01 14:00:00,63.1485,69.89399999999999,63.1485,10.0,56.403,6.745499999999996,74.4058333333,16.33716829249397,154.632425,65.22675,51.642085
15,69.2055,2.0,69.209,69.2055,69.202,0.003500000000002501,2020-03-01 15:00:00,69.72800000000001,69.89266666666667,69.72800000000001,10.0,69.56333333333333,0.16466666666666896,70.16139,14.817554020867124,134.04545,70.787135,43.89684
16,69.217,2.0,69.218,69.217,69.216,0.0010000000000047748,2020-03-01 16:00:00,76.67216666666667,83.23866666666667,76.67216666666667,10.0,70.10566666666666,6.566500000000005,87.8177283333,14.046721219672715,108.817525,76.663745,50.414095
17,60.852,2.0,65.288,60.852,56.416,4.436,2020-03-01 17:00:00,69.69033333333333,69.871,69.69033333333333,10.0,69.50966666666666,0.1806666666666672,85.9259683333,12.559762377349983,97.836395,66.393725,50.588825
18,69.2005,2.0,69.204,69.2005,69.197,0.0034999999999953957,2020-03-01 18:00:00,69.51866666666666,69.545,69.51866666666666,10.0,69.49233333333332,0.026333333333340647,65.547185,11.167839414054917,99.06918,65.53845,50.625365
19,69.1825,2.0,69.186,69.1825,69.179,0.003500000000002501,2020-03-01 19:00:00,69.702,69.87866666666667,69.702,10.0,69.52533333333334,0.17666666666666941,84.1643933333,13.573474160000384,99.7952,63.638645,48.838215
20,67.102,2.0,68.989,67.102,65.215,1.8870000000000005,2020-03-01 20:00:00,70.20066666666668,70.53066666666666,70.20066666666668,10.0,69.87066666666668,0.3299999999999912,55.1909183333,140.69958457847616,1024.92158,66.56782749999999,0.0
21,67.2245,2.0,70.217,67.2245,64.232,2.9924999999999997,2020-03-01 21:00:00,70.906,71.96366666666667,70.906,10.0,69.84833333333333,1.0576666666666696,81.5161066667,12.643385622112485,107.907325,66.99432,50.75253
