,Lastmile,Lastmile_hops,Lastmile_max,Lastmile_median,Lastmile_min,Lastmile_ste,Timestamp,TraceRt_rtt,TraceRt_rtt_max,TraceRt_rtt_median,Tracert_hops,Tracert_rtt_min,Tracert_rtt_std,Ping_Average,Ping_Std,Ping_max,Ping_median,Ping_min
0,8.861,2.3333333333333335,25.422,2.0275,1.692,10.006288889160324,2020-03-01 00:00:00,17.010833333333334,24.240333333333336,16.686666666666667,7.833333333333333,12.454,3.8377944078163795,12.2677783333,4.029362194644418,24.524549,15.048195,9.387267
1,8.144166666666665,2.3333333333333335,20.889,2.164,1.695,8.791067444034061,2020-03-01 01:00:00,16.464333333333332,24.328333333333333,15.750833333333333,7.833333333333333,11.733333333333334,3.926661177132552,11.945986,4.304496951999117,24.711941,15.105027,8.841986
2,8.321,2.0,21.374,2.0495,1.69,9.125061095685881,2020-03-01 02:00:00,17.285944444444446,24.804666666666666,15.635833333333332,7.666666666666667,11.067666666666668,5.450023130826438,11.9779863333,3.6109336246083306,24.724229,15.119619,9.707522
3,7.605833333333333,2.6666666666666665,19.028,2.4715,1.694,7.81331588628598,2020-03-01 03:00:00,14.968555555555556,16.426666666666666,15.902166666666666,8.0,11.57,1.7977588791754922,11.1406103333,33.73715714690752,406.48405,15.226371,9.077762
4,7.787666666666667,2.3333333333333335,22.07,2.0365,1.682,8.49245258384696,2020-03-01 04:00:00,17.148944444444442,24.36833333333333,16.0505,7.833333333333333,11.104999999999999,4.6129392068987,11.069186,6.919991824844999,84.019985,15.171075,9.414147
5,8.208,2.3333333333333335,20.995,2.4379999999999997,1.697,8.652271127667387,2020-03-01 05:00:00,16.131,24.424333333333333,16.00733333333333,7.833333333333333,11.263666666666666,4.437871328230003,13.531139,6.212299898874689,74.150415,15.226372,9.881858
6,7.363833333333335,2.3333333333333335,21.161,2.045,1.685,7.941194440314939,2020-03-01 06:00:00,15.963277777777778,24.585666666666665,15.603333333333332,7.833333333333333,11.347666666666667,4.36959564794538,11.8615066667,6.393819071223966,61.736461,15.433732,9.381122
7,8.035666666666666,2.3333333333333335,21.053,2.2,1.705,8.616907211342646,2020-03-01 07:00:00,15.875777777777778,24.593000000000004,15.940833333333334,7.833333333333333,10.556,4.451393143003688,12.570371,3.718108150887937,34.075399,15.214852,9.064706
8,7.668166666666667,2.3333333333333335,20.872,3.143,1.685,7.604795842463856,2020-03-01 08:00:00,16.053555555555555,24.412666666666667,15.12,7.833333333333333,11.508333333333333,4.259687841400217,11.8049306667,4.170623492919923,34.871047,14.791684,9.51629
9,8.649666666666667,2.3333333333333335,21.348,3.9305,1.71,8.357538366980767,2020-03-01 09:00:00,16.517944444444442,24.299666666666667,16.519166666666663,7.833333333333333,11.391,4.249754360729948,11.8379546667,3.640710656386456,24.631301,15.249411,9.852674
