ASN,MSM_ID,Date,Timestamp,RTT,Mean,Median,Std,Var
209,1004,"02/01/2020,00:00:00",1580515200,11.424479222228888,11.424479222228888,12.337411,4.233334115353839,17.92111773221867
209,1004,"02/01/2020,01:00:00",1580518800,11.144603348144445,11.144603348144445,12.3404823333,3.948875940008293,15.593621189576382
209,1004,"02/01/2020,02:00:00",1580522400,11.258733074079998,11.258733074079998,12.307971,4.153692364123619,17.25316025577886
209,1004,"02/01/2020,03:00:00",1580526000,11.496697925928888,11.496697925928888,12.2554906667,4.316807879752058,18.634830270689456
209,1004,"02/01/2020,04:00:00",1580529600,11.307757148146665,11.307757148146665,12.441859,4.185845465095123,17.521302257657403
209,1004,"02/01/2020,05:00:00",1580533200,11.252377340746667,11.252377340746667,12.1564186667,4.077900227643958,16.62927026661865
209,1004,"02/01/2020,06:00:00",1580536800,11.395137170375556,11.395137170375556,12.3243546667,4.212903186446974,17.748553258375065
209,1004,"02/01/2020,07:00:00",1580540400,11.27069494815111,11.27069494815111,11.8599703333,4.3134332489494085,18.605706393142253
209,1004,"02/01/2020,08:00:00",1580544000,11.312683422228888,11.312683422228888,12.2800666667,4.078482467471879,16.63401923747551
209,1004,"02/01/2020,09:00:00",1580547600,11.224804940733334,11.224804940733334,11.9805463333,4.028756165785093,16.230876243351403
209,1004,"02/01/2020,10:00:00",1580551200,11.154147466666666,11.154147466666666,11.9662103333,3.9802129337724312,15.842094998169344
209,1004,"02/01/2020,11:00:00",1580554800,10.891222207411111,10.891222207411111,11.9539226667,3.7916614090738863,14.376696241060168
209,1004,"02/01/2020,12:00:00",1580558400,11.54506876295778,11.54506876295778,12.3522586667,4.3592619699846376,19.00316492295434
209,1004,"02/01/2020,13:00:00",1580562000,11.305488992586666,11.305488992586666,12.6336026667,4.08923255898813,16.721822921488613
209,1004,"02/01/2020,14:00:00",1580565600,11.19384411852222,11.19384411852222,12.2936346667,4.006809263528694,16.054520474299355
209,1004,"02/01/2020,15:00:00",1580569200,11.657294748146665,11.657294748146665,12.420098,4.557587965972131,20.771608067573982
209,1004,"02/01/2020,16:00:00",1580572800,11.543846888886666,11.543846888886666,12.1113626667,5.145314235818428,26.474258585315773
209,1004,"02/01/2020,17:00:00",1580576400,11.341901044446669,11.341901044446669,12.1169943333,4.092956690163832,16.752294467556872
209,1004,"02/01/2020,18:00:00",1580580000,12.417232051848892,12.417232051848892,12.0419866667,7.243293368303914,52.465298819315464
209,1004,"02/01/2020,19:00:00",1580583600,11.159820874071109,11.159820874071109,12.4157466667,3.905073746385102,15.249600964706175
209,1004,"02/01/2020,20:00:00",1580587200,11.43971322221778,11.43971322221778,12.4858903333,4.139548021576214,17.135857822935552
209,1004,"02/01/2020,21:00:00",1580590800,11.836700985193334,11.836700985193334,11.9091226667,5.45301298781034,29.73535064522826
209,1004,"02/01/2020,22:00:00",1580594400,11.552288133326668,11.552288133326668,11.7944346667,4.552246844852893,20.722951336473116
209,1004,"02/01/2020,23:00:00",1580598000,11.397575681484444,11.397575681484444,12.197634,4.204236202060054,17.67560204271235
209,1004,"02/02/2020,00:00:00",1580601600,11.627988007404447,11.627988007404447,12.5112346667,4.44107080397596,19.723109885927684
209,1004,"02/02/2020,01:00:00",1580605200,11.123384985180001,11.123384985180001,11.9160346667,3.833211815540032,14.693512822795709
209,1004,"02/02/2020,02:00:00",1580608800,11.442021888891112,11.442021888891112,11.9846426667,4.419706688928046,19.533807216155314
209,1004,"02/02/2020,03:00:00",1580612400,11.184418177780001,11.184418177780001,12.2511383333,4.057093686603661,16.460009181879283
209,1004,"02/02/2020,04:00:00",1580616000,11.511432807413335,11.511432807413335,12.2332186667,4.421219251508634,19.54717966991057
209,1004,"02/02/2020,05:00:00",1580619600,11.309068214817778,11.309068214817778,12.0675863333,4.065375326986517,16.527276549270734
209,1004,"02/02/2020,06:00:00",1580623200,11.557408414817777,11.557408414817777,11.9841303333,4.356010616933825,18.974828494840203
209,1004,"02/02/2020,07:00:00",1580626800,11.850128185188886,11.850128185188886,12.3051546667,4.837004964950862,23.39661703095929
209,1004,"02/02/2020,08:00:00",1580630400,11.442513533337776,11.442513533337776,12.3107866667,4.240750221768432,17.983962443429007
209,1004,"02/02/2020,09:00:00",1580634000,11.657378866666667,11.657378866666667,11.8771223333,5.762691418298695,33.20861238253342
209,1004,"02/02/2020,10:00:00",1580637600,11.370629896299999,11.370629896299999,12.1792026667,3.981535236183228,15.852622836968635
209,1004,"02/02/2020,11:00:00",1580641200,11.094297133324444,11.094297133324444,11.9639063333,3.952614472661573,15.623161169493724
209,1004,"02/02/2020,12:00:00",1580644800,11.075392740742222,11.075392740742222,12.1584666667,3.9586059992671445,15.670561457433829
209,1004,"02/02/2020,13:00:00",1580648400,11.100978688891109,11.100978688891109,11.840515,4.081011697216585,16.654656472818594
209,1004,"02/02/2020,14:00:00",1580652000,12.111782207404445,12.111782207404445,12.6988826667,5.938094044388029,35.26096087999658
209,1004,"02/02/2020,15:00:00",1580655600,11.255109481475557,11.255109481475557,12.3002903333,4.080732387723857,16.652376820218446
209,1004,"02/02/2020,16:00:00",1580659200,12.438657222228889,12.438657222228889,12.6333466667,7.460323576305031,55.65642786317269
209,1004,"02/02/2020,17:00:00",1580662800,11.286551740742224,11.286551740742224,12.887299,4.084583039283551,16.683818604802852
