,Isp,Isp_max,Isp_median,Isp_min,Isp_std,Lastmile,Lastmile_hops,Lastmile_max,Lastmile_median,Lastmile_min,Lastmile_std,Lastmile_ste,Timestamp,TraceRt_rtt,TraceRt_rtt_max,TraceRt_rtt_median,Tracert_hops,Tracert_rtt_min,Tracert_rtt_std,Ping_Average,Ping_Std,Ping_max,Ping_median,Ping_min
0,10.046875,13.954,10.297,7.7,2.094019247613307,10.016124999999999,3.5,12.838333333333333,10.467666666666666,7.614333333333334,1.8611266445765522,,2020-03-01 00:00:00,13.645000000000001,18.419,12.708166666666667,8.0,10.179,2.8840600240324794,14.0523183333,17.186824377344035,144.471581,14.5689375,10.181825
1,11.552,17.878,10.9495,7.876,3.457674688284021,10.967416666666667,3.5,15.181333333333333,10.5795,8.068333333333333,2.672374338330367,,2020-03-01 01:00:00,14.087083333333334,19.038666666666668,12.447666666666667,8.0,9.817,3.4887873161744904,16.0214233333,43.713426501227694,385.156245,15.829302,10.1398
2,11.8285,22.703,9.7655,7.524,5.323982602338216,11.75825,3.5,21.947000000000003,9.910500000000003,7.646666666666666,4.793340541690223,,2020-03-01 02:00:00,14.242750000000001,18.68466666666667,13.913,8.0,10.312,2.8247783873252788,12.5965733333,191.67072954878944,1908.49636,15.5611885,0.0
3,10.085875,14.623,8.798,7.228,2.509936973187773,9.779375,3.5,12.375333333333332,9.617333333333335,7.433666666666667,1.623321341823437,,2020-03-01 03:00:00,13.224791666666668,19.279333333333337,12.616666666666667,8.0,10.504,2.5564601282149475,13.6314083333,9.385236481557847,87.90837,14.281369999999999,10.09917
4,9.469875,14.505,8.370000000000001,7.193,2.465492265121714,9.150500000000001,3.625,10.894,9.210666666666667,7.638,1.1232882656637067,,2020-03-01 04:00:00,12.467041666666667,14.078333333333333,12.448833333333333,8.0,10.54,1.0299621815805233,15.8179316667,186.38713088872555,1815.504805,12.9116775,0.0
5,9.690875,14.296,8.5395,7.432,2.4494795588808245,9.845583333333334,3.5,12.607999999999999,9.96,7.511333333333333,1.495784230856101,,2020-03-01 05:00:00,12.288083333333333,18.47266666666667,11.0885,8.0,9.798,2.7740041894444856,13.0713933333,9.683786473771027,94.845715,12.7459275,10.185515
6,9.735125,16.416,8.3535,7.358,2.8662316042802614,8.834875,3.5,11.986000000000002,8.247166666666667,7.5393333333333326,1.3447243825150779,,2020-03-01 06:00:00,13.178958333333334,19.268,12.757,8.0,10.523,2.569097855265649,12.5281866667,32.61989794070826,301.04879,12.3786675,9.890465
7,8.511125,10.818,8.1715,7.663,0.9682491205134139,8.857541666666666,3.5,12.528,8.1325,7.663,1.5962673816812283,,2020-03-01 07:00:00,11.784416666666667,14.246666666666668,11.687333333333331,8.0,9.46,1.469950412523422,13.8334033333,8.375751758358248,87.704082,12.798664,9.81956
8,8.95,12.53,8.1955,7.727,1.537834516454875,8.953458333333334,3.5,12.289,8.290166666666666,7.782,1.4292226902284644,,2020-03-01 08:00:00,11.911291666666667,15.178333333333333,11.284333333333333,8.0,10.608,1.4038490782042774,11.6761416667,8.706855284696116,117.484824,12.444855,9.722882
9,8.963125000000002,14.653,7.9535,7.22,2.310882214517867,8.584125,3.5,11.290000000000001,7.9045000000000005,7.1739999999999995,1.4378192876086495,,2020-03-01 09:00:00,12.210666666666668,14.148666666666665,12.414833333333334,8.0,10.529333333333334,1.202725065562921,12.6460083333,10.838773092091335,134.664987,12.56538,0.0
