ASN,MSM_ID,Date,Timestamp,RTT,Mean,Median,Std,Var
22561,1004,"02/01/2020,00:00:00",1580515200,nan,nan,nan,nan,nan
22561,1004,"02/01/2020,01:00:00",1580518800,nan,nan,nan,nan,nan
22561,1004,"02/01/2020,02:00:00",1580522400,nan,nan,nan,nan,nan
22561,1004,"02/01/2020,03:00:00",1580526000,nan,nan,nan,nan,nan
22561,1004,"02/01/2020,04:00:00",1580529600,nan,nan,nan,nan,nan
22561,1004,"02/01/2020,05:00:00",1580533200,nan,nan,nan,nan,nan
22561,1004,"02/01/2020,06:00:00",1580536800,nan,nan,nan,nan,nan
22561,1004,"02/01/2020,07:00:00",1580540400,nan,nan,nan,nan,nan
22561,1004,"02/01/2020,08:00:00",1580544000,nan,nan,nan,nan,nan
22561,1004,"02/01/2020,09:00:00",1580547600,nan,nan,nan,nan,nan
22561,1004,"02/01/2020,10:00:00",1580551200,nan,nan,nan,nan,nan
22561,1004,"02/01/2020,11:00:00",1580554800,nan,nan,nan,nan,nan
22561,1004,"02/01/2020,12:00:00",1580558400,nan,nan,nan,nan,nan
22561,1004,"02/01/2020,13:00:00",1580562000,nan,nan,nan,nan,nan
22561,1004,"02/01/2020,14:00:00",1580565600,nan,nan,nan,nan,nan
22561,1004,"02/01/2020,15:00:00",1580569200,nan,nan,nan,nan,nan
22561,1004,"02/01/2020,16:00:00",1580572800,nan,nan,nan,nan,nan
22561,1004,"02/01/2020,17:00:00",1580576400,nan,nan,nan,nan,nan
22561,1004,"02/01/2020,18:00:00",1580580000,nan,nan,nan,nan,nan
22561,1004,"02/01/2020,19:00:00",1580583600,nan,nan,nan,nan,nan
22561,1004,"02/01/2020,20:00:00",1580587200,nan,nan,nan,nan,nan
22561,1004,"02/01/2020,21:00:00",1580590800,nan,nan,nan,nan,nan
22561,1004,"02/01/2020,22:00:00",1580594400,nan,nan,nan,nan,nan
22561,1004,"02/01/2020,23:00:00",1580598000,nan,nan,nan,nan,nan
22561,1004,"02/02/2020,00:00:00",1580601600,nan,nan,nan,nan,nan
22561,1004,"02/02/2020,01:00:00",1580605200,nan,nan,nan,nan,nan
22561,1004,"02/02/2020,02:00:00",1580608800,nan,nan,nan,nan,nan
22561,1004,"02/02/2020,03:00:00",1580612400,nan,nan,nan,nan,nan
22561,1004,"02/02/2020,04:00:00",1580616000,nan,nan,nan,nan,nan
22561,1004,"02/02/2020,05:00:00",1580619600,nan,nan,nan,nan,nan
22561,1004,"02/02/2020,06:00:00",1580623200,nan,nan,nan,nan,nan
22561,1004,"02/02/2020,07:00:00",1580626800,nan,nan,nan,nan,nan
22561,1004,"02/02/2020,08:00:00",1580630400,nan,nan,nan,nan,nan
22561,1004,"02/02/2020,09:00:00",1580634000,nan,nan,nan,nan,nan
22561,1004,"02/02/2020,10:00:00",1580637600,nan,nan,nan,nan,nan
22561,1004,"02/02/2020,11:00:00",1580641200,nan,nan,nan,nan,nan
22561,1004,"02/02/2020,12:00:00",1580644800,nan,nan,nan,nan,nan
22561,1004,"02/02/2020,13:00:00",1580648400,nan,nan,nan,nan,nan
22561,1004,"02/02/2020,14:00:00",1580652000,nan,nan,nan,nan,nan
22561,1004,"02/02/2020,15:00:00",1580655600,nan,nan,nan,nan,nan
22561,1004,"02/02/2020,16:00:00",1580659200,nan,nan,nan,nan,nan
22561,1004,"02/02/2020,17:00:00",1580662800,nan,nan,nan,nan,nan
22561,1004,"02/02/2020,18:00:00",1580666400,nan,nan,nan,nan,nan
22561,1004,"02/02/2020,19:00:00",1580670000,nan,nan,nan,nan,nan
22561,1004,"02/02/2020,20:00:00",1580673600,nan,nan,nan,nan,nan
22561,1004,"02/02/2020,21:00:00",1580677200,nan,nan,nan,nan,nan
22561,1004,"02/02/2020,22:00:00",1580680800,nan,nan,nan,nan,nan
22561,1004,"02/02/2020,23:00:00",1580684400,nan,nan,nan,nan,nan
22561,1004,"02/03/2020,00:00:00",1580688000,nan,nan,nan,nan,nan
22561,1004,"02/03/2020,01:00:00",1580691600,nan,nan,nan,nan,nan
22561,1004,"02/03/2020,02:00:00",1580695200,nan,nan,nan,nan,nan
22561,1004,"02/03/2020,03:00:00",1580698800,nan,nan,nan,nan,nan
22561,1004,"02/03/2020,04:00:00",1580702400,nan,nan,nan,nan,nan
22561,1004,"02/03/2020,05:00:00",1580706000,nan,nan,nan,nan,nan
22561,1004,"02/03/2020,06:00:00",1580709600,nan,nan,nan,nan,nan
22561,1004,"02/03/2020,07:00:00",1580713200,nan,nan,nan,nan,nan
22561,1004,"02/03/2020,08:00:00",1580716800,nan,nan,nan,nan,nan
22561,1004,"02/03/2020,09:00:00",1580720400,nan,nan,nan,nan,nan
22561,1004,"02/03/2020,10:00:00",1580724000,nan,nan,nan,nan,nan
22561,1004,"02/03/2020,11:00:00",1580727600,nan,nan,nan,nan,nan
22561,1004,"02/03/2020,12:00:00",1580731200,nan,nan,nan,nan,nan
22561,1004,"02/03/2020,13:00:00",1580734800,nan,nan,nan,nan,nan
22561,1004,"02/03/2020,14:00:00",1580738400,nan,nan,nan,nan,nan
22561,1004,"02/03/2020,15:00:00",1580742000,nan,nan,nan,nan,nan
22561,1004,"02/03/2020,16:00:00",1580745600,nan,nan,nan,nan,nan
22561,1004,"02/03/2020,17:00:00",1580749200,nan,nan,nan,nan,nan
22561,1004,"02/03/2020,18:00:00",1580752800,nan,nan,nan,nan,nan
22561,1004,"02/03/2020,19:00:00",1580756400,nan,nan,nan,nan,nan
22561,1004,"02/03/2020,20:00:00",1580760000,nan,nan,nan,nan,nan
22561,1004,"02/03/2020,21:00:00",1580763600,nan,nan,nan,nan,nan
22561,1004,"02/03/2020,22:00:00",1580767200,nan,nan,nan,nan,nan
22561,1004,"02/03/2020,23:00:00",1580770800,nan,nan,nan,nan,nan
22561,1004,"02/04/2020,00:00:00",1580774400,nan,nan,nan,nan,nan
22561,1004,"02/04/2020,01:00:00",1580778000,nan,nan,nan,nan,nan
22561,1004,"02/04/2020,02:00:00",1580781600,nan,nan,nan,nan,nan
22561,1004,"02/04/2020,03:00:00",1580785200,nan,nan,nan,nan,nan
22561,1004,"02/04/2020,04:00:00",1580788800,nan,nan,nan,nan,nan
22561,1004,"02/04/2020,05:00:00",1580792400,nan,nan,nan,nan,nan
22561,1004,"02/04/2020,06:00:00",1580796000,nan,nan,nan,nan,nan
22561,1004,"02/04/2020,07:00:00",1580799600,nan,nan,nan,nan,nan
22561,1004,"02/04/2020,08:00:00",1580803200,nan,nan,nan,nan,nan
22561,1004,"02/04/2020,09:00:00",1580806800,nan,nan,nan,nan,nan
22561,1004,"02/04/2020,10:00:00",1580810400,nan,nan,nan,nan,nan
22561,1004,"02/04/2020,11:00:00",1580814000,nan,nan,nan,nan,nan
22561,1004,"02/04/2020,12:00:00",1580817600,nan,nan,nan,nan,nan
22561,1004,"02/04/2020,13:00:00",1580821200,nan,nan,nan,nan,nan
22561,1004,"02/04/2020,14:00:00",1580824800,nan,nan,nan,nan,nan
22561,1004,"02/04/2020,15:00:00",1580828400,nan,nan,nan,nan,nan
22561,1004,"02/04/2020,16:00:00",1580832000,nan,nan,nan,nan,nan
22561,1004,"02/04/2020,17:00:00",1580835600,nan,nan,nan,nan,nan
22561,1004,"02/04/2020,18:00:00",1580839200,nan,nan,nan,nan,nan
22561,1004,"02/04/2020,19:00:00",1580842800,nan,nan,nan,nan,nan
22561,1004,"02/04/2020,20:00:00",1580846400,nan,nan,nan,nan,nan
22561,1004,"02/04/2020,21:00:00",1580850000,nan,nan,nan,nan,nan
22561,1004,"02/04/2020,22:00:00",1580853600,nan,nan,nan,nan,nan
22561,1004,"02/04/2020,23:00:00",1580857200,nan,nan,nan,nan,nan
22561,1004,"02/05/2020,00:00:00",1580860800,nan,nan,nan,nan,nan
22561,1004,"02/05/2020,01:00:00",1580864400,nan,nan,nan,nan,nan
22561,1004,"02/05/2020,02:00:00",1580868000,nan,nan,nan,nan,nan
22561,1004,"02/05/2020,03:00:00",1580871600,nan,nan,nan,nan,nan
22561,1004,"02/05/2020,04:00:00",1580875200,nan,nan,nan,nan,nan
22561,1004,"02/05/2020,05:00:00",1580878800,nan,nan,nan,nan,nan
22561,1004,"02/05/2020,06:00:00",1580882400,nan,nan,nan,nan,nan
22561,1004,"02/05/2020,07:00:00",1580886000,nan,nan,nan,nan,nan
22561,1004,"02/05/2020,08:00:00",1580889600,nan,nan,nan,nan,nan
22561,1004,"02/05/2020,09:00:00",1580893200,nan,nan,nan,nan,nan
22561,1004,"02/05/2020,10:00:00",1580896800,nan,nan,nan,nan,nan
22561,1004,"02/05/2020,11:00:00",1580900400,nan,nan,nan,nan,nan
22561,1004,"02/05/2020,12:00:00",1580904000,nan,nan,nan,nan,nan
22561,1004,"02/05/2020,13:00:00",1580907600,nan,nan,nan,nan,nan
22561,1004,"02/05/2020,14:00:00",1580911200,nan,nan,nan,nan,nan
22561,1004,"02/05/2020,15:00:00",1580914800,nan,nan,nan,nan,nan
22561,1004,"02/05/2020,16:00:00",1580918400,nan,nan,nan,nan,nan
22561,1004,"02/05/2020,17:00:00",1580922000,nan,nan,nan,nan,nan
22561,1004,"02/05/2020,18:00:00",1580925600,nan,nan,nan,nan,nan
22561,1004,"02/05/2020,19:00:00",1580929200,nan,nan,nan,nan,nan
