,Isp,Isp_max,Isp_median,Isp_min,Isp_std,Lastmile,Lastmile_hops,Lastmile_max,Lastmile_median,Lastmile_min,Lastmile_std,Lastmile_ste,Timestamp,TraceRt_rtt,TraceRt_rtt_max,TraceRt_rtt_median,Tracert_hops,Tracert_rtt_min,Tracert_rtt_std,Ping_Average,Ping_Std,Ping_max,Ping_median,Ping_min
0,14.328100000000001,48.268,0.9485,0.0,17.61721653638849,104.1049,2.0,459.10200000000003,42.41166666666667,0.0,149.56469715804894,,2020-03-01 00:00:00,93.81043333333334,405.1413333333333,41.36866666666667,8.0,0.0,133.88928432369866,93.0088473333,145.21767700721685,673.153,69.5169025,27.35705
1,13.9162,38.564,1.0234999999999999,0.0,16.534790454069867,70.29436666666668,2.0,325.4503333333334,43.694833333333335,0.0,91.06646427386613,,2020-03-01 01:00:00,82.94426666666666,289.54466666666667,45.24333333333334,8.0,0.0,103.30098950142411,70.2316666667,365.44078671295034,2628.67862,61.818333499999994,0.0
2,13.808000000000002,40.648,0.9964999999999999,0.0,16.483750028437097,43.9196,2.0,126.00733333333334,40.08733333333333,0.0,34.859287870204376,,2020-03-01 02:00:00,39.22806666666667,64.68033333333334,44.4075,8.0,0.0,22.195974338104147,45.681986,313.8369843286951,2996.812515,58.033083,0.0
3,14.151499999999999,40.889,0.944,0.0,17.00268850064601,45.991,2.0,129.84799999999998,46.08966666666666,0.0,34.635420209182776,,2020-03-01 03:00:00,47.39273333333333,124.514,46.08966666666666,8.0,0.0,34.81611626206078,54.995639,286.8763098215433,1484.25117,60.208313000000004,0.0
4,16.336599999999997,54.779,0.9285,0.0,20.547758209595518,38.05316666666666,2.0,63.573,46.48883333333333,0.0,21.72740087091771,,2020-03-01 04:00:00,39.76846666666667,68.15466666666667,46.87966666666667,8.0,0.0,22.952799314244874,54.2318616667,130.4011961864566,1155.186925,66.2085,0.0
5,15.1567,48.468,0.9395,0.0,18.61594956509068,35.02883333333333,2.0,56.571,44.07433333333333,0.0,18.983168527964743,,2020-03-01 05:00:00,39.320566666666664,72.78566666666667,46.513333333333335,8.0,0.0,22.842682109035366,53.2255973333,95.35523926295281,490.45162,69.602792,0.0
6,14.6923,51.022,0.9610000000000001,0.0,18.246684164801014,62.682399999999994,2.0,344.82266666666663,40.77850000000001,0.0,95.5932050620754,,2020-03-01 06:00:00,71.0961,386.122,42.988166666666665,8.0,0.0,107.11759570667598,56.1613473333,56.59987733825698,456.62959,64.141715,0.0
7,32.12475,218.116,1.0145,0.0,63.76015457840814,48.60733333333333,2.1,159.453,40.567,0.0,42.935344470494236,,2020-03-01 07:00:00,54.25686666666667,227.57366666666667,44.91550000000001,8.0,0.0,60.94317186950114,61.778264,152.99869477969435,1978.829925,66.32903999999999,0.0
8,13.428300000000002,38.943,1.037,0.0,15.972164042796454,34.876266666666666,2.0,60.82533333333333,37.14633333333333,0.0,19.55034790358246,,2020-03-01 08:00:00,42.23146666666666,84.64533333333333,47.98833333333333,8.0,0.0,26.380593989690393,46.127264,36.81497795733426,266.79245,66.709375,34.896685
9,12.9411,34.699,1.069,0.0,15.255845118838877,33.76463333333333,2.0,55.230999999999995,36.91916666666666,0.0,18.8840086660351,,2020-03-01 09:00:00,42.1553,73.21499999999999,50.31183333333333,8.0,0.0,24.86188331806565,57.7845,38.96551620586021,214.46387,65.648458,0.0
10,15.6962,55.875,0.9735,0.0,19.776648258994747,34.4285,2.0,55.415,38.414833333333334,0.0,19.740838857134044,,2020-03-01 10:00:00,47.06413333333333,115.527,48.67766666666667,8.0,0.0,32.90248197770699,74.157778,61.72987770915656,513.459685,63.2676,0.0
11,14.9042,56.333,0.978,0.0,19.06347462977303,72.75973333333334,2.0,416.17633333333333,40.773833333333336,0.0,116.26618355583881,,2020-03-01 11:00:00,85.2697,509.60066666666665,49.71233333333333,8.0,0.0,143.22993086358653,54.7622916667,161.32901140884528,1862.341795,65.160375,0.0
12,16.5288,60.615,0.958,0.0,21.17099225733173,65.7475,2.0,363.34833333333336,40.98116666666667,0.0,100.84528308390146,,2020-03-01 12:00:00,41.86943333333333,113.48966666666666,43.75033333333333,8.0,0.0,30.68514236819941,55.5798333333,121.31513071432927,727.38484,72.90476,0.0
13,15.573500000000001,47.657,0.988,0.0,19.171893460219312,111.4096,2.0,514.2566666666667,44.94083333333333,0.0,161.73938817766205,,2020-03-01 13:00:00,59.731466666666655,216.05133333333333,44.94083333333333,8.0,0.0,60.122905418299425,60.935083,142.45002857546203,719.513805,72.49627100000001,0.0
14,14.8512,56.658,1.1175000000000002,0.0,19.0347004221238,73.92993333333331,2.0,419.3676666666666,39.88133333333333,0.0,117.68622059610698,,2020-03-01 14:00:00,93.15786666666666,548.0943333333333,42.28716666666667,8.0,0.0,154.55068001656358,35.0284443333,315.4712105926206,2367.022435,61.186105,0.0
15,13.3803,37.512,0.9904999999999999,0.0,15.868776657638106,62.98480000000001,2.0,271.02,45.655,0.0,74.87581254156778,,2020-03-01 15:00:00,97.29659999999998,521.1153333333333,46.49616666666667,8.0,0.0,150.92156623225043,52.037944,195.44342857505808,1856.48833,64.52866850000001,0.0
16,13.3058,36.326,0.9545,0.0,15.775788441786357,87.04363333333333,2.0,334.1773333333333,40.6755,0.0,113.55237602303471,,2020-03-01 16:00:00,125.14090000000002,549.3679999999999,40.152166666666666,8.0,0.0,190.6875001740952,54.9489863333,178.0270788970998,779.26277,69.34221600000001,0.0
