,Isp,Isp_max,Isp_median,Isp_min,Isp_std,Lastmile,Lastmile_hops,Lastmile_max,Lastmile_median,Lastmile_min,Lastmile_std,Timestamp,TraceRt_rtt,TraceRt_rtt_max,TraceRt_rtt_median,Tracert_hops,Tracert_rtt_min,Tracert_rtt_std,Ping_Average,Ping_Std,Ping_max,Ping_median,Ping_min
0,15.540624999999999,28.989,15.02,1.89,9.616184182635802,5.176166666666666,6.25,10.222,5.359500000000001,0.7316666666666666,3.804284014254339,2020-03-01 00:00:00,13.163874999999999,16.816999999999997,13.807666666666666,9.0,8.759,2.850451513637308,12.9072666667,3.3696323917680666,27.142595,14.5978825,8.147714
1,13.851625,29.623,13.9855,2.075,8.55636917648923,5.223166666666667,6.25,9.622333333333334,5.350833333333334,0.758,3.6790636376665193,2020-03-01 01:00:00,12.952541666666669,16.899333333333335,13.0735,9.0,9.037333333333335,2.6614451323873527,8.215554,3.332330945041927,27.495305,14.6239275,8.140034
2,15.1595,29.82,17.578,1.938,8.949829369881863,6.398833333333334,6.375,12.885333333333335,8.167333333333334,0.7456666666666667,4.318584551421655,2020-03-01 02:00:00,14.419375,19.886,15.162166666666668,9.125,8.854,4.063657621177352,8.247298,3.9209727522202282,20.591995,15.0885325,8.138498
3,13.639625,21.969,16.0515,1.699,7.474279696691514,5.237333333333333,6.375,9.956333333333331,5.399666666666667,0.592,3.8605580950887854,2020-03-01 03:00:00,13.893208333333334,20.381333333333334,15.124999999999998,9.125,8.600333333333333,3.6903239617557064,8.221442,3.8053427081153006,24.12272,14.854222499999999,8.146947
4,11.56725,16.432,14.412500000000001,1.885,5.763976725100474,5.515666666666666,6.25,12.770999999999999,5.167,0.7306666666666667,4.380130087489792,2020-03-01 04:00:00,13.441708333333333,17.015666666666668,15.085666666666665,9.0,8.926333333333334,2.9812627005902304,8.512514,3.301524510372995,26.64421,14.687592500000001,8.150018
5,11.688875,18.2,13.6465,1.894,6.012700858131478,4.902,6.25,9.493333333333332,4.864000000000001,0.7516666666666666,3.6472122268628375,2020-03-01 05:00:00,13.39325,18.082666666666668,14.702833333333334,9.0,8.896333333333333,3.162429818061844,8.495362,3.0218072517551224,18.07075,14.554302499999999,8.151554
6,14.018625,26.22,13.953499999999998,1.913,8.391573480842256,5.059875,6.25,9.363999999999999,5.249,0.7376666666666667,3.606625584861145,2020-03-01 06:00:00,12.762791666666667,15.378,13.461666666666666,9.0,8.821,2.7040046070468433,8.292098,3.2945370281342528,27.035615,13.3702025,8.155394
7,14.548625,23.078,16.569499999999998,2.13,8.03009526620793,5.060125,6.25,8.857,5.585333333333334,0.758,3.471751322929667,2020-03-01 07:00:00,13.105624999999998,19.33433333333333,13.011333333333333,9.0,8.803666666666667,3.4489704520072997,8.22477,2.991405693388725,17.1027,14.5196075,8.139266
8,13.418375000000001,27.896,13.5445,1.934,8.284091183369181,5.088916666666667,6.25,9.152,5.212666666666666,0.7086666666666668,3.731748814601242,2020-03-01 08:00:00,12.818416666666668,15.646,13.714000000000002,9.0,8.753666666666666,2.767649166661524,8.232962,3.2687536370161605,27.008525,14.58576,8.14157
9,14.132875,35.136,13.9945,1.925,9.84933738174173,4.898125,6.25,9.161666666666667,4.9093333333333335,0.6866666666666666,3.617742650763426,2020-03-01 09:00:00,12.682875000000001,15.938,12.959,9.0,8.784333333333334,2.949755568675234,8.2536983333,3.0150466421284805,17.001455,14.583952499999999,8.14541
10,11.64475,17.044,13.969,1.938,5.916907041478681,5.019,6.25,9.050333333333333,5.261166666666666,0.601,3.6830578177499316,2020-03-01 10:00:00,13.426791666666666,19.161333333333335,13.760166666666667,9.0,8.854000000000001,3.4652726160894534,8.289794,3.0084613022714297,19.046815,14.5337425,8.120066
11,12.136875,20.049,14.117999999999999,2.002,6.265081333021543,5.1183749999999995,6.25,8.946666666666667,5.403333333333333,0.734,3.677087303822219,2020-03-01 11:00:00,12.738208333333333,16.292666666666666,13.059666666666665,9.0,8.909666666666666,2.818866744010101,8.2990096667,3.063200106293515,21.18787,14.6847975,8.146946
12,11.60675,18.071,13.745000000000001,1.901,5.87182982020937,4.927791666666667,6.25,8.746,5.172666666666667,0.7236666666666668,3.531412339188812,2020-03-01 12:00:00,12.76025,15.90633333333333,13.501166666666666,9.0,8.901666666666666,2.754472256117716,8.252674,3.260994492258297,23.84241,14.5527425,8.140034
13,13.026,23.402,13.911000000000001,1.792,7.502358645786004,4.915291666666667,6.25,8.933,5.118166666666667,0.7546666666666666,3.5641395191760914,2020-03-01 13:00:00,13.239791666666665,19.560333333333336,13.307333333333332,9.0,8.729666666666667,3.5451200024254788,8.2058263333,4.1699789401556835,46.17944,14.363065,8.128514
14,20.159625,82.768,14.999500000000001,1.703,24.36462691555885,5.361666666666666,6.25,9.145333333333333,6.3966666666666665,0.7153333333333333,3.543506416280662,2020-03-01 14:00:00,12.513958333333331,15.469,12.985666666666665,9.0,8.617666666666667,2.7851662699095123,8.216578,3.003993644310149,16.874025,14.569667500000001,8.146178
15,12.424,19.661,14.8195,1.916,6.350490551918017,5.093666666666666,6.25,9.116666666666667,5.328666666666666,0.7266666666666667,3.6946014782833254,2020-03-01 15:00:00,13.442875,19.64166666666667,13.273666666666667,9.0,8.855333333333334,3.6237168186265913,8.224002,2.998143487829289,16.781075,14.4279925,8.136194
